sentence,disease
"These days I feel joint pain, small dents in nails, skin peeling, inflammatory nails and silver like dusting.",Psoriasis
These days I feel loss of balance and back pain.,Cervical spondylosis
"These days I feel fatigue, weight loss and abdominal pain.",Jaundice
"My body is showing signs of distention of abdomen, fluid overload, vomiting and abdominal pain.",Alcoholic hepatitis
I feel discomfort due to history of alcohol consumption and distention of abdomen.,Alcoholic hepatitis
"Troubled by itching, vomiting, yellowish skin and yellowing of eyes lately.",Chronic cholestasis
"Symptoms such as skin rash, spotting  urination, stomach pain, burning micturition and itching are bothering me.",Drug Reaction
"I'm experiencing symptoms like unsteadiness, loss of balance, nausea and headache.",(vertigo) Paroymsal  Positional Vertigo
Troubled by loss of appetite and abdominal pain lately.,Chronic cholestasis
"I have been suffering from nausea, joint pain, loss of appetite, dark urine and muscle pain.",hepatitis A
"I think I’m having abdominal pain, weight loss, high fever and vomiting.",Jaundice
"I think I’m having high fever, abdominal pain and fatigue.",Jaundice
"Recently, I noticed movement stiffness, swelling joints, stiff neck and muscle weakness.",Arthritis
"I’ve had mild fever, high fever and malaise for a few days.",Chicken pox
"These days I feel continuous sneezing, shivering, watering from eyes and chills.",Allergy
These days I feel loss of appetite and itching.,Chronic cholestasis
I'm experiencing symptoms like weight loss and fatigue.,Tuberculosis
"These days I feel muscle wasting, patches in throat and extra marital contacts.",AIDS
"I have been suffering from family history, fatigue, high fever, mucoid sputum and breathlessness.",Bronchial Asthma
"These days I feel skin rash, joint pain, small dents in nails, silver like dusting and inflammatory nails.",Psoriasis
I feel discomfort due to anxiety and slurred speech.,Hypoglycemia
My body is showing signs of nodal skin eruptions and dischromic  patches.,Fungal infection
I think I’m having altered sensorium and headache.,Paralysis (brain hemorrhage)
"I feel discomfort due to irritability, abnormal menstruation, brittle nails, mood swings and swollen extremeties.",Hypothyroidism
"I have been suffering from vomiting, passage of gases, abdominal pain, loss of appetite and indigestion.",Peptic ulcer diseae
"I’ve had acidity, excessive hunger and blurred and distorted vision for a few days.",Migraine
"I'm experiencing symptoms like fatigue, itching and receiving unsterile injections.",Hepatitis B
"Symptoms such as sweating, mood swings, restlessness, weight loss and fast heart rate are bothering me.",Hyperthyroidism
"Troubled by sweating, chills, phlegm and high fever lately.",Pneumonia
"I'm experiencing symptoms like joint pain, yellowing of eyes, mild fever and loss of appetite.",hepatitis A
Symptoms such as small dents in nails and skin peeling are bothering me.,Psoriasis
I have been suffering from diarrhoea and dehydration.,Gastroenteritis
"Recently, I noticed inflammatory nails, skin rash and silver like dusting.",Psoriasis
"I'm experiencing symptoms like foul smell of urine, continuous feel of urine and bladder discomfort.",Urinary tract infection
I have been suffering from neck pain and loss of balance.,Cervical spondylosis
"Troubled by chest pain, sweating, vomiting and breathlessness lately.",Heart attack
"I'm experiencing symptoms like itching, stomach pain and spotting  urination.",Drug Reaction
"Symptoms such as mild fever, fatigue, weight loss and blood in sputum are bothering me.",Tuberculosis
"I’ve had dehydration, diarrhoea, sunken eyes and vomiting for a few days.",Gastroenteritis
"My body is showing signs of knee pain, joint pain and neck pain.",Osteoarthristis
I have been suffering from history of alcohol consumption and vomiting.,Alcoholic hepatitis
"I’ve had vomiting, yellowish skin, history of alcohol consumption and fluid overload for a few days.",Alcoholic hepatitis
"My body is showing signs of vomiting, weakness of one body side and headache.",Paralysis (brain hemorrhage)
"These days I feel skin rash, blackheads, pus filled pimples and scurring.",Acne
"Troubled by excessive hunger, mood swings, restlessness, irritability and sweating lately.",Hyperthyroidism
"I'm experiencing symptoms like skin rash, malaise and loss of appetite.",Chicken pox
"Troubled by chills, headache, pain behind the eyes and high fever lately.",Dengue
"I'm experiencing symptoms like mood swings, lethargy, cold hands and feets and enlarged thyroid.",Hypothyroidism
"I'm experiencing symptoms like sinus pressure, muscle pain and chills.",Common Cold
"Symptoms such as coma, stomach bleeding, loss of appetite, fatigue and vomiting are bothering me.",Hepatitis E
I feel discomfort due to internal itching and vomiting.,Peptic ulcer diseae
"I'm experiencing symptoms like headache, fatigue, red spots over body and chills.",Dengue
"Recently, I noticed loss of appetite, abdominal pain, vomiting and internal itching.",Peptic ulcer diseae
"My body is showing signs of breathlessness, sweating and chest pain.",Heart attack
"I have been suffering from abdominal pain, itching, yellowish skin, dark urine and weight loss.",Jaundice
"I think I’m having skin rash, pus filled pimples, blackheads and scurring.",Acne
"These days I feel headache, altered sensorium, vomiting and weakness of one body side.",Paralysis (brain hemorrhage)
"Recently, I noticed cough, vomiting and stomach pain.",GERD
"Symptoms such as high fever, skin rash, itching and red spots over body are bothering me.",Chicken pox
"I think I’m having abdominal pain, acute liver failure, dark urine, stomach bleeding and yellowish skin.",Hepatitis E
"I feel discomfort due to chills, chest pain and sweating.",Tuberculosis
I feel discomfort due to yellowish skin and vomiting.,Chronic cholestasis
"I have been suffering from diarrhoea, irritability and excessive hunger.",Hyperthyroidism
"I have been suffering from blurred and distorted vision, lethargy, polyuria, fatigue and excessive hunger.",Diabetes 
"I feel discomfort due to abdominal pain, joint pain, vomiting and nausea.",hepatitis A
"These days I feel abdominal pain, vomiting, internal itching, indigestion and loss of appetite.",Peptic ulcer diseae
I’ve had abnormal menstruation and weight loss for a few days.,Hyperthyroidism
"I feel discomfort due to swelling joints, knee pain, hip joint pain, joint pain and painful walking.",Osteoarthristis
I think I’m having chest pain and breathlessness.,Heart attack
"Symptoms such as congestion, sinus pressure, loss of smell, throat irritation and headache are bothering me.",Common Cold
"I have been suffering from fatigue, diarrhoea, vomiting and headache.",Typhoid
"My body is showing signs of vomiting, breathlessness and chest pain.",Heart attack
"I’ve had chest pain, cough and vomiting for a few days.",GERD
I’ve had restlessness and irregular sugar level for a few days.,Diabetes 
"I think I’m having movement stiffness, swelling joints, painful walking and muscle weakness.",Arthritis
"Symptoms such as headache, vomiting and weakness of one body side are bothering me.",Paralysis (brain hemorrhage)
"Recently, I noticed acidity, cough and ulcers on tongue.",GERD
"I'm experiencing symptoms like scurring, pus filled pimples and skin rash.",Acne
I'm experiencing symptoms like coma and acute liver failure.,Hepatitis E
I feel discomfort due to chest pain and malaise.,Pneumonia
Troubled by irritation in anus and constipation lately.,Dimorphic hemmorhoids(piles)
"I’ve had fatigue, high fever, loss of smell and sinus pressure for a few days.",Common Cold
"I'm experiencing symptoms like vomiting, chest pain, breathlessness and sweating.",Heart attack
"I think I’m having back pain, loss of balance and neck pain.",Cervical spondylosis
"I'm experiencing symptoms like stiff neck, muscle weakness, painful walking and swelling joints.",Arthritis
"I’ve had diarrhoea, belly pain and high fever for a few days.",Typhoid
"Troubled by fatigue, abdominal pain and itching lately.",Jaundice
"I think I’m having acidity, stomach pain, vomiting, cough and ulcers on tongue.",GERD
"Troubled by dark urine, loss of appetite, muscle pain, abdominal pain and vomiting lately.",hepatitis A
"I feel discomfort due to fatigue, excessive hunger and restlessness.",Diabetes 
I think I’m having sweating and yellowing of eyes.,Tuberculosis
"Troubled by irritability, vomiting and palpitations lately.",Hypoglycemia
"I'm experiencing symptoms like skin rash, scurring and blackheads.",Acne
"I have been suffering from distention of abdomen, fluid overload and swelling of stomach.",Alcoholic hepatitis
Troubled by swollen legs and bruising lately.,Varicose veins
I'm experiencing symptoms like yellowish skin and yellowing of eyes.,Hepatitis E
"My body is showing signs of high fever, yellowing of eyes and vomiting.",Tuberculosis
"These days I feel lack of concentration, loss of balance, headache, chest pain and dizziness.",Hypertension 
"These days I feel irritability, fatigue, fast heart rate and abnormal menstruation.",Hyperthyroidism
"I'm experiencing symptoms like abdominal pain, itching, yellow urine and malaise.",Hepatitis B
I have been suffering from dizziness and weakness in limbs.,Cervical spondylosis
"Recently, I noticed swollen extremeties, puffy face and eyes, fatigue, enlarged thyroid and dizziness.",Hypothyroidism
"Recently, I noticed dischromic  patches, skin rash and nodal skin eruptions.",Fungal infection
Symptoms such as sweating and chest pain are bothering me.,Heart attack
"I’ve had abdominal pain, dark urine, itching, vomiting and yellowish skin for a few days.",Jaundice
"These days I feel mild fever, breathlessness, phlegm, swelled lymph nodes and weight loss.",Tuberculosis
I’ve had continuous feel of urine and bladder discomfort for a few days.,Urinary tract infection
I have been suffering from pain during bowel movements and irritation in anus.,Dimorphic hemmorhoids(piles)
"Symptoms such as cough, acidity, vomiting and chest pain are bothering me.",GERD
"Troubled by mood swings, abnormal menstruation and irritability lately.",Hypothyroidism
Symptoms such as weight loss and restlessness are bothering me.,Hyperthyroidism
"I'm experiencing symptoms like swelling joints, neck pain, joint pain, painful walking and knee pain.",Osteoarthristis
"Troubled by dark urine, joint pain, yellowish skin, diarrhoea and muscle pain lately.",hepatitis A
These days I feel abdominal pain and lethargy.,Hepatitis B
"I’ve had swollen blood vessels, prominent veins on calf, obesity, fatigue and bruising for a few days.",Varicose veins
"My body is showing signs of swelling joints, painful walking and hip joint pain.",Osteoarthristis
I feel discomfort due to loss of balance and nausea.,(vertigo) Paroymsal  Positional Vertigo
"Recently, I noticed internal itching, indigestion, vomiting, loss of appetite and abdominal pain.",Peptic ulcer diseae
"Recently, I noticed dischromic  patches, nodal skin eruptions and itching.",Fungal infection
"I have been suffering from spotting  urination, stomach pain, itching, skin rash and burning micturition.",Drug Reaction
"I have been suffering from stiff neck, painful walking, muscle weakness and movement stiffness.",Arthritis
"I’ve had skin rash, yellow crust ooze and high fever for a few days.",Impetigo
These days I feel muscle pain and fatigue.,Common Cold
"I’ve had nausea, sweating, diarrhoea and high fever for a few days.",Malaria
"My body is showing signs of knee pain, swelling joints, hip joint pain and neck pain.",Osteoarthristis
"I have been suffering from muscle weakness, stiff neck, swelling joints and movement stiffness.",Arthritis
"I think I’m having fatigue, family history, cough, breathlessness and mucoid sputum.",Bronchial Asthma
Symptoms such as vomiting and dehydration are bothering me.,Gastroenteritis
"Symptoms such as watering from eyes, shivering, chills and continuous sneezing are bothering me.",Allergy
"I’ve had malaise, weight loss and loss of appetite for a few days.",Tuberculosis
"I think I’m having sunken eyes, vomiting and dehydration.",Gastroenteritis
"I have been suffering from chest pain, loss of balance, headache and lack of concentration.",Hypertension 
Symptoms such as nausea and abdominal pain are bothering me.,Typhoid
"I have been suffering from spinning movements, loss of balance, vomiting, headache and nausea.",(vertigo) Paroymsal  Positional Vertigo
"Troubled by slurred speech, drying and tingling lips and nausea lately.",Hypoglycemia
"I feel discomfort due to swelled lymph nodes, chills, blood in sputum, fatigue and yellowing of eyes.",Tuberculosis
"I'm experiencing symptoms like breathlessness, cough, high fever, malaise and vomiting.",Tuberculosis
"My body is showing signs of joint pain, small dents in nails, skin rash, skin peeling and silver like dusting.",Psoriasis
"I think I’m having yellowish skin, dark urine and abdominal pain.",Jaundice
I'm experiencing symptoms like loss of balance and spinning movements.,(vertigo) Paroymsal  Positional Vertigo
"I'm experiencing symptoms like acidity, stomach pain and ulcers on tongue.",GERD
"Recently, I noticed mild fever, dark urine, diarrhoea and yellowish skin.",hepatitis A
"Troubled by cough, high fever and family history lately.",Bronchial Asthma
I'm experiencing symptoms like yellow crust ooze and skin rash.,Impetigo
"Symptoms such as back pain, malaise, headache and joint pain are bothering me.",Dengue
"Symptoms such as fatigue, chills, red spots over body and nausea are bothering me.",Dengue
"I’ve had vomiting, chest pain and sweating for a few days.",Heart attack
"I feel discomfort due to skin rash, scurring, blackheads and pus filled pimples.",Acne
I have been suffering from swelling joints and neck pain.,Osteoarthristis
"Symptoms such as joint pain, vomiting and dark urine are bothering me.",Hepatitis E
Troubled by vomiting and loss of balance lately.,(vertigo) Paroymsal  Positional Vertigo
"Recently, I noticed swelling of stomach and abdominal pain.",Alcoholic hepatitis
"Recently, I noticed headache and altered sensorium.",Paralysis (brain hemorrhage)
"Troubled by swelling joints, painful walking, hip joint pain, knee pain and neck pain lately.",Osteoarthristis
"I have been suffering from burning micturition, spotting  urination and skin rash.",Drug Reaction
I think I’m having yellowing of eyes and chills.,Tuberculosis
"Recently, I noticed stiff neck, swelling joints and muscle weakness.",Arthritis
"I'm experiencing symptoms like irritation in anus, pain in anal region and pain during bowel movements.",Dimorphic hemmorhoids(piles)
I'm experiencing symptoms like obesity and lethargy.,Diabetes 
I’ve had continuous feel of urine and burning micturition for a few days.,Urinary tract infection
"These days I feel cough, vomiting, ulcers on tongue, stomach pain and acidity.",GERD
"I feel discomfort due to excessive hunger, blurred and distorted vision, stiff neck, acidity and headache.",Migraine
"I think I’m having abdominal pain, yellowish skin, dark urine and itching.",Jaundice
"Symptoms such as breathlessness, loss of appetite, vomiting and malaise are bothering me.",Tuberculosis
"I have been suffering from abdominal pain, yellowish skin, high fever and vomiting.",Hepatitis E
"I feel discomfort due to joint pain, vomiting, yellowish skin and fatigue.",Hepatitis D
"Recently, I noticed cough and vomiting.",GERD
"I feel discomfort due to itching, nausea, yellowing of eyes and abdominal pain.",Chronic cholestasis
"Recently, I noticed pain in anal region, constipation, irritation in anus and bloody stool.",Dimorphic hemmorhoids(piles)
"Recently, I noticed vomiting, diarrhoea and dehydration.",Gastroenteritis
"My body is showing signs of fatigue, mucoid sputum, breathlessness, cough and high fever.",Bronchial Asthma
"I think I’m having joint pain, vomiting, fatigue, abdominal pain and yellowish skin.",Hepatitis D
"I'm experiencing symptoms like puffy face and eyes, swollen extremeties, brittle nails, abnormal menstruation and mood swings.",Hypothyroidism
These days I feel unsteadiness and headache.,(vertigo) Paroymsal  Positional Vertigo
"I have been suffering from sinus pressure, congestion and redness of eyes.",Common Cold
"I’ve had receiving blood transfusion, yellowish skin, lethargy, malaise and fatigue for a few days.",Hepatitis B
"These days I feel breathlessness, vomiting and sweating.",Heart attack
"I'm experiencing symptoms like breathlessness, fatigue and cough.",Bronchial Asthma
Troubled by acidity and stomach pain lately.,GERD
"These days I feel continuous sneezing, chills, watering from eyes and shivering.",Allergy
"I have been suffering from vomiting, headache and sweating.",Hypoglycemia
"Symptoms such as watering from eyes, continuous sneezing, chills and shivering are bothering me.",Allergy
I think I’m having diarrhoea and joint pain.,hepatitis A
I’ve had constipation and pain during bowel movements for a few days.,Dimorphic hemmorhoids(piles)
"These days I feel dizziness, loss of balance, lack of concentration and chest pain.",Hypertension 
I have been suffering from dischromic  patches and itching.,Fungal infection
"These days I feel dischromic  patches, skin rash, itching and nodal skin eruptions.",Fungal infection
"I feel discomfort due to loss of balance, nausea, unsteadiness, headache and spinning movements.",(vertigo) Paroymsal  Positional Vertigo
"These days I feel vomiting, headache and altered sensorium.",Paralysis (brain hemorrhage)
"Symptoms such as restlessness, increased appetite and blurred and distorted vision are bothering me.",Diabetes 
"My body is showing signs of swelling joints, hip joint pain and joint pain.",Osteoarthristis
I'm experiencing symptoms like extra marital contacts and high fever.,AIDS
"My body is showing signs of headache, belly pain, chills and nausea.",Typhoid
I think I’m having sweating and drying and tingling lips.,Hypoglycemia
"I'm experiencing symptoms like high fever, breathlessness, family history, cough and mucoid sputum.",Bronchial Asthma
I feel discomfort due to pain in anal region and irritation in anus.,Dimorphic hemmorhoids(piles)
"I have been suffering from chills, diarrhoea, vomiting and high fever.",Malaria
These days I feel spotting  urination and skin rash.,Drug Reaction
"I’ve had muscle weakness, excessive hunger, mood swings, fast heart rate and restlessness for a few days.",Hyperthyroidism
"Troubled by cough, breathlessness, family history and high fever lately.",Bronchial Asthma
"These days I feel cough, fast heart rate, breathlessness and sweating.",Pneumonia
"I'm experiencing symptoms like weight loss, dark urine, vomiting and abdominal pain.",Jaundice
"My body is showing signs of skin rash, nodal skin eruptions and itching.",Fungal infection
"I’ve had mucoid sputum, family history, cough, high fever and fatigue for a few days.",Bronchial Asthma
"I feel discomfort due to anxiety, irritability and blurred and distorted vision.",Hypoglycemia
"My body is showing signs of burning micturition, foul smell of urine, continuous feel of urine and bladder discomfort.",Urinary tract infection
"I feel discomfort due to fatigue, dark urine, yellowish skin, itching and vomiting.",Jaundice
"Troubled by itching, nodal skin eruptions and dischromic  patches lately.",Fungal infection
"I think I’m having high fever, nausea, skin rash and red spots over body.",Dengue
"Recently, I noticed fast heart rate, muscle weakness, diarrhoea and sweating.",Hyperthyroidism
"I’ve had cough, rusty sputum, malaise and sweating for a few days.",Pneumonia
"Recently, I noticed stomach pain, burning micturition, skin rash and itching.",Drug Reaction
"I’ve had abdominal pain, yellowish skin and history of alcohol consumption for a few days.",Alcoholic hepatitis
"I think I’m having continuous feel of urine, foul smell of urine, burning micturition and bladder discomfort.",Urinary tract infection
"My body is showing signs of obesity, prominent veins on calf and bruising.",Varicose veins
"Troubled by diarrhoea, vomiting and headache lately.",Typhoid
"Symptoms such as family history, mucoid sputum, cough, breathlessness and fatigue are bothering me.",Bronchial Asthma
These days I feel pain in anal region and pain during bowel movements.,Dimorphic hemmorhoids(piles)
"I'm experiencing symptoms like dizziness, back pain and loss of balance.",Cervical spondylosis
"Troubled by weakness of one body side, headache and vomiting lately.",Paralysis (brain hemorrhage)
"Recently, I noticed neck pain and swelling joints.",Osteoarthristis
"I feel discomfort due to joint pain, knee pain, painful walking, neck pain and swelling joints.",Osteoarthristis
"Recently, I noticed cramps, prominent veins on calf and swollen legs.",Varicose veins
"I have been suffering from fatigue, brittle nails, irritability and lethargy.",Hypothyroidism
"I feel discomfort due to spotting  urination, stomach pain and skin rash.",Drug Reaction
"Symptoms such as malaise, weight loss and blood in sputum are bothering me.",Tuberculosis
"I feel discomfort due to diarrhoea, nausea and loss of appetite.",hepatitis A
"Recently, I noticed loss of appetite, abdominal pain, internal itching and passage of gases.",Peptic ulcer diseae
"Recently, I noticed receiving blood transfusion and receiving unsterile injections.",Hepatitis B
"Recently, I noticed small dents in nails, skin peeling, silver like dusting and inflammatory nails.",Psoriasis
"I'm experiencing symptoms like extra marital contacts, patches in throat and muscle wasting.",AIDS
"I'm experiencing symptoms like abdominal pain, nausea, diarrhoea, yellowing of eyes and vomiting.",hepatitis A
"I feel discomfort due to cough, chest pain and fatigue.",Pneumonia
These days I feel abdominal pain and nausea.,Chronic cholestasis
My body is showing signs of chills and continuous sneezing.,Allergy
"I'm experiencing symptoms like sweating, irritability and excessive hunger.",Hypoglycemia
"Symptoms such as pus filled pimples, scurring, blackheads and skin rash are bothering me.",Acne
"I think I’m having red sore around nose, blister and skin rash.",Impetigo
"Symptoms such as skin rash, yellow crust ooze, red sore around nose, blister and high fever are bothering me.",Impetigo
"My body is showing signs of abdominal pain, itching and loss of appetite.",Chronic cholestasis
"My body is showing signs of nausea, fatigue and high fever.",Hepatitis E
"I’ve had back pain, neck pain and loss of balance for a few days.",Cervical spondylosis
"My body is showing signs of malaise, chills, phlegm and mild fever.",Tuberculosis
"I'm experiencing symptoms like vomiting, yellowish skin, dark urine, yellowing of eyes and loss of appetite.",Hepatitis D
I feel discomfort due to skin rash and pus filled pimples.,Acne
"I feel discomfort due to loss of appetite, fatigue, yellowing of eyes, receiving unsterile injections and lethargy.",Hepatitis B
"Recently, I noticed lethargy, excessive hunger, polyuria, obesity and fatigue.",Diabetes 
I have been suffering from vomiting and blurred and distorted vision.,Hypoglycemia
These days I feel nausea and spinning movements.,(vertigo) Paroymsal  Positional Vertigo
"I'm experiencing symptoms like vomiting, high fever, loss of appetite, yellowing of eyes and coma.",Hepatitis E
"My body is showing signs of irregular sugar level, restlessness, excessive hunger, polyuria and fatigue.",Diabetes 
"Recently, I noticed toxic look (typhos) and constipation.",Typhoid
"Symptoms such as breathlessness, vomiting and sweating are bothering me.",Heart attack
My body is showing signs of abdominal pain and yellowish skin.,Chronic cholestasis
"Recently, I noticed extra marital contacts and muscle wasting.",AIDS
"Troubled by yellowish skin, itching, high fever and fatigue lately.",Jaundice
I'm experiencing symptoms like fatigue and prominent veins on calf.,Varicose veins
"I'm experiencing symptoms like loss of appetite, cough and weight loss.",Tuberculosis
"I'm experiencing symptoms like dehydration, sunken eyes and diarrhoea.",Gastroenteritis
"Recently, I noticed vomiting, yellowing of eyes, high fever, fatigue and yellowish skin.",Hepatitis E
"I think I’m having vomiting, dark urine, loss of appetite and abdominal pain.",Hepatitis E
"I feel discomfort due to irritability, acidity and depression.",Migraine
"I feel discomfort due to itching, yellowing of eyes and abdominal pain.",Chronic cholestasis
These days I feel chest pain and sweating.,Heart attack
"Troubled by skin rash, itching and dischromic  patches lately.",Fungal infection
"I'm experiencing symptoms like loss of appetite, high fever, swelled lymph nodes and malaise.",Chicken pox
"My body is showing signs of high fever, itching and fatigue.",Jaundice
"Symptoms such as knee pain, painful walking, joint pain, hip joint pain and neck pain are bothering me.",Osteoarthristis
"Troubled by bruising, swollen legs, obesity and swollen blood vessels lately.",Varicose veins
"Troubled by fatigue, sinus pressure, cough and malaise lately.",Common Cold
"I think I’m having diarrhoea, muscle pain, nausea and headache.",Malaria
"Symptoms such as high fever, nausea, diarrhoea and vomiting are bothering me.",Malaria
"I’ve had malaise, yellowing of eyes, receiving blood transfusion, dark urine and yellow urine for a few days.",Hepatitis B
"These days I feel cough, chills, fast heart rate, malaise and high fever.",Pneumonia
I feel discomfort due to patches in throat and extra marital contacts.,AIDS
"Symptoms such as yellowing of eyes, loss of appetite, high fever and nausea are bothering me.",Hepatitis E
"I’ve had small dents in nails, silver like dusting, skin peeling and skin rash for a few days.",Psoriasis
"I’ve had loss of balance, lack of concentration, headache and chest pain for a few days.",Hypertension 
"I feel discomfort due to vomiting, diarrhoea, dehydration and sunken eyes.",Gastroenteritis
"I have been suffering from loss of balance, dizziness, weakness in limbs, back pain and neck pain.",Cervical spondylosis
"These days I feel yellowing of eyes, loss of appetite, dark urine and yellowish skin.",Hepatitis E
"I'm experiencing symptoms like dark urine, vomiting, diarrhoea, loss of appetite and mild fever.",hepatitis A
"I have been suffering from vomiting, nausea, muscle pain, high fever and headache.",Malaria
"My body is showing signs of yellowing of eyes, abdominal pain, nausea and itching.",Chronic cholestasis
"I think I’m having itching, yellowing of eyes, yellowish skin and vomiting.",Chronic cholestasis
"Recently, I noticed blurred and distorted vision, depression and visual disturbances.",Migraine
"I’ve had yellowish skin, abdominal pain, vomiting, fluid overload and history of alcohol consumption for a few days.",Alcoholic hepatitis
"I feel discomfort due to diarrhoea, headache, sweating, muscle pain and chills.",Malaria
"Symptoms such as vomiting, sweating, breathlessness and chest pain are bothering me.",Heart attack
I have been suffering from loss of appetite and diarrhoea.,hepatitis A
These days I feel yellowish skin and fatigue.,Jaundice
"My body is showing signs of swelling of stomach, history of alcohol consumption, abdominal pain, vomiting and yellowish skin.",Alcoholic hepatitis
"Troubled by yellowing of eyes, fatigue, loss of appetite, yellowish skin and nausea lately.",Hepatitis D
"I’ve had acidity, stiff neck and blurred and distorted vision for a few days.",Migraine
"My body is showing signs of fatigue, mood swings and diarrhoea.",Hyperthyroidism
My body is showing signs of dischromic  patches and nodal skin eruptions.,Fungal infection
I have been suffering from internal itching and loss of appetite.,Peptic ulcer diseae
"I feel discomfort due to swollen blood vessels, cramps, fatigue and swollen legs.",Varicose veins
"These days I feel vomiting, indigestion and loss of appetite.",Peptic ulcer diseae
I'm experiencing symptoms like sweating and breathlessness.,Heart attack
"I think I’m having nausea, vomiting, unsteadiness, spinning movements and loss of balance.",(vertigo) Paroymsal  Positional Vertigo
I think I’m having fatigue and belly pain.,Typhoid
"These days I feel swelling joints, stiff neck and muscle weakness.",Arthritis
"I feel discomfort due to swelling joints, joint pain, neck pain and hip joint pain.",Osteoarthristis
"I'm experiencing symptoms like sweating, chest pain, breathlessness and vomiting.",Heart attack
I’ve had high fever and pain behind the eyes for a few days.,Dengue
"I have been suffering from malaise, breathlessness, chills, chest pain and phlegm.",Pneumonia
"Troubled by excessive hunger, indigestion, acidity and stiff neck lately.",Migraine
"Recently, I noticed foul smell of urine and continuous feel of urine.",Urinary tract infection
"I think I’m having receiving unsterile injections, yellowing of eyes, lethargy and loss of appetite.",Hepatitis B
"These days I feel back pain, neck pain, loss of balance and weakness in limbs.",Cervical spondylosis
"Troubled by itching, nausea, loss of appetite and yellowing of eyes lately.",Chronic cholestasis
"I think I’m having yellowing of eyes, lethargy, fatigue and abdominal pain.",Hepatitis B
"Symptoms such as fatigue, cough, family history and high fever are bothering me.",Bronchial Asthma
"I’ve had yellowing of eyes, abdominal pain, itching and vomiting for a few days.",Chronic cholestasis
"I'm experiencing symptoms like chest pain, chills and sweating.",Pneumonia
My body is showing signs of sunken eyes and diarrhoea.,Gastroenteritis
"Symptoms such as congestion, malaise, fatigue and loss of smell are bothering me.",Common Cold
I have been suffering from movement stiffness and swelling joints.,Arthritis
I’ve had yellowish skin and vomiting for a few days.,Chronic cholestasis
"I think I’m having loss of appetite, yellowish skin, joint pain, abdominal pain and fatigue.",Hepatitis D
"I’ve had stomach pain, chest pain, ulcers on tongue and vomiting for a few days.",GERD
I think I’m having chest pain and headache.,Hypertension 
"These days I feel yellowish skin, abdominal pain, loss of appetite, dark urine and vomiting.",Hepatitis E
"Troubled by chest pain, cough, ulcers on tongue, vomiting and stomach pain lately.",GERD
"Troubled by visual disturbances, depression, indigestion, blurred and distorted vision and irritability lately.",Migraine
"Troubled by nausea, constipation and vomiting lately.",Typhoid
These days I feel chest pain and vomiting.,Heart attack
"I have been suffering from blurred and distorted vision, excessive hunger, irregular sugar level and polyuria.",Diabetes 
"I think I’m having headache, dizziness, loss of balance and chest pain.",Hypertension 
"I think I’m having malaise, fast heart rate, sweating and breathlessness.",Pneumonia
"My body is showing signs of sinus pressure, headache, high fever, chills and continuous sneezing.",Common Cold
Symptoms such as fatigue and prominent veins on calf are bothering me.,Varicose veins
"Symptoms such as vomiting, palpitations and irritability are bothering me.",Hypoglycemia
"Symptoms such as chills, pain behind the eyes, loss of appetite, skin rash and back pain are bothering me.",Dengue
"I'm experiencing symptoms like dark urine, fatigue, abdominal pain, yellowish skin and yellowing of eyes.",Hepatitis D
"Troubled by vomiting, diarrhoea, dehydration and sunken eyes lately.",Gastroenteritis
"Recently, I noticed malaise and back pain.",Dengue
"I think I’m having history of alcohol consumption, distention of abdomen, vomiting, swelling of stomach and fluid overload.",Alcoholic hepatitis
Symptoms such as diarrhoea and nausea are bothering me.,hepatitis A
"I have been suffering from skin rash, itching and dischromic  patches.",Fungal infection
I'm experiencing symptoms like skin rash and blackheads.,Acne
"I have been suffering from blister, red sore around nose, skin rash and yellow crust ooze.",Impetigo
I feel discomfort due to skin rash and dischromic  patches.,Fungal infection
I think I’m having watering from eyes and chills.,Allergy
"My body is showing signs of abdominal pain, vomiting and indigestion.",Peptic ulcer diseae
"These days I feel vomiting, passage of gases, abdominal pain, loss of appetite and indigestion.",Peptic ulcer diseae
Troubled by puffy face and eyes and swollen extremeties lately.,Hypothyroidism
"I think I’m having acidity, irritability and excessive hunger.",Migraine
"My body is showing signs of continuous sneezing, shivering and watering from eyes.",Allergy
"I'm experiencing symptoms like silver like dusting, inflammatory nails and small dents in nails.",Psoriasis
"I think I’m having nodal skin eruptions, skin rash and dischromic  patches.",Fungal infection
"Recently, I noticed fast heart rate and irritability.",Hyperthyroidism
"These days I feel scurring, pus filled pimples and blackheads.",Acne
"Symptoms such as mucoid sputum, family history, fatigue and cough are bothering me.",Bronchial Asthma
I think I’m having yellow urine and yellowing of eyes.,Hepatitis B
My body is showing signs of fluid overload and distention of abdomen.,Alcoholic hepatitis
"Troubled by nausea, loss of appetite and abdominal pain lately.",Hepatitis D
These days I feel vomiting and chest pain.,Heart attack
I think I’m having high fever and family history.,Bronchial Asthma
"I’ve had mucoid sputum, breathlessness, high fever, cough and fatigue for a few days.",Bronchial Asthma
"Troubled by constipation, toxic look (typhos), vomiting and high fever lately.",Typhoid
"I'm experiencing symptoms like chills, redness of eyes and malaise.",Common Cold
"I’ve had pus filled pimples, blackheads and scurring for a few days.",Acne
"My body is showing signs of prominent veins on calf, obesity, cramps and swollen blood vessels.",Varicose veins
I think I’m having headache and loss of balance.,(vertigo) Paroymsal  Positional Vertigo
"I think I’m having skin rash, scurring and pus filled pimples.",Acne
